"RK","Player","Team","Pos","G","AB","R","H","2B","3B","HR","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS"
"1","?LeMahieu"," D","COL","2B","146","552","104","192","32","8","11","66","66","80","11","7","0.348","0.416","0.495","0.911"
"2","?Murphy"," D","WSH","2B","142","531","88","184","47","5","25","104","35","57","5","3","0.347","0.39","0.595","0.985"
"3","?Altuve"," J","HOU","2B","161","640","108","216","42","5","24","96","60","70","30","10","0.338","0.396","0.531","0.928"
"4","?Votto"," J","CIN","1B","158","556","101","181","34","2","29","97","108","120","8","1","0.326","0.434","0.55","0.985"
"5","?Blackmon"," C","COL","CF","143","578","111","187","35","5","29","82","43","102","17","9","0.324","0.381","0.552","0.933"
"6","?Segura"," J","ARI","2B","153","637","102","203","41","7","20","64","39","101","33","10","0.319","0.368","0.499","0.867"
"7","?Betts"," M","BOS","RF","158","672","122","214","42","5","31","113","49","80","26","4","0.318","0.363","0.534","0.897"
"8","?Pedroia"," D","BOS","2B","154","633","105","201","36","1","15","74","61","73","7","4","0.318","0.376","0.449","0.825"
"9","?Cabrera"," M","DET","1B","158","595","92","188","31","1","38","108","75","116","0","0","0.316","0.393","0.563","0.956"
"10","?Trout"," M","LAA","CF","159","549","123","173","32","5","29","100","116","137","30","7","0.315","0.441","0.55","0.991"
"11","?Ortiz"," D","BOS","DH","151","537","79","169","48","1","38","127","80","86","2","0","0.315","0.401","0.62","1.021"
